Season,Land Type,Soil Type,Water Source,Land Size,Previous Crop,Suggested Crop
Monsoon,Plain,Loam,Irrigated,35.1,Sugarcane,Rice
Monsoon,Plain,Loam,Rainfed,12.2,Rice,Rice
Summer,Hilly,Loam,Groundwater,11.7,Wheat,Maize
Monsoon,Hilly,Sandy,Groundwater,21.3,Soybean,Soybean
Summer,Coastal,Sandy,Groundwater,13.9,Cotton,Cotton
Summer,Hilly,Clay,Irrigated,12.0,Rice,Rice
Summer,Hilly,Sandy,Irrigated,13.9,Sugarcane,Cotton
Winter,Plain,Sandy,Groundwater,15.1,Cotton,Barley
Monsoon,Coastal,Clay,Rainfed,32.6,Cotton,Paddy
Summer,Coastal,Sandy,Rainfed,21.2,Soybean,Cotton
Monsoon,Hilly,Sandy,Groundwater,3.5,Wheat,Soybean
Winter,Coastal,Loam,Groundwater,24.0,Soybean,Wheat
Summer,Coastal,Silt,Groundwater,43.7,Cotton,Sugarcane
Summer,Plain,Loam,Rainfed,44.5,Soybean,Maize
Monsoon,Coastal,Loam,Groundwater,14.9,Rice,Rice
Monsoon,Plain,Clay,Irrigated,25.6,Corn,Paddy
Winter,Plain,Silt,Rainfed,11.7,Corn,Pea
Monsoon,Plain,Loam,Rainfed,33.9,Cotton,Rice
Summer,Coastal,Sandy,Groundwater,19.6,Cotton,Cotton
Winter,Hilly,Silt,Groundwater,40.9,Wheat,Pea
Summer,Hilly,Clay,Rainfed,33.3,Rice,Rice
Summer,Plain,Loam,Rainfed,21.5,Sugarcane,Maize
Summer,Coastal,Clay,Groundwater,11.6,Wheat,Rice
Winter,Hilly,Loam,Groundwater,20.5,Soybean,Wheat
Winter,Hilly,Sandy,Rainfed,30.9,Cotton,Barley
Summer,Coastal,Silt,Irrigated,46.2,Soybean,Sugarcane
Monsoon,Plain,Silt,Rainfed,36.1,Wheat,Groundnut
Monsoon,Coastal,Loam,Groundwater,18.0,Sugarcane,Rice
Summer,Plain,Sandy,Groundwater,2.4,Rice,Cotton
Summer,Hilly,Silt,Groundwater,18.2,Soybean,Sugarcane
Monsoon,Hilly,Clay,Groundwater,47.0,Wheat,Paddy
Monsoon,Hilly,Clay,Irrigated,39.1,Corn,Paddy
Monsoon,Hilly,Silt,Rainfed,3.4,Corn,Groundnut
Monsoon,Coastal,Loam,Groundwater,12.8,Sugarcane,Rice
Monsoon,Coastal,Silt,Rainfed,40.1,Sugarcane,Groundnut
Summer,Plain,Sandy,Rainfed,5.3,Rice,Cotton
Summer,Plain,Sandy,Rainfed,31.5,Sugarcane,Cotton
Summer,Plain,Sandy,Groundwater,3.6,Sugarcane,Cotton
Winter,Plain,Sandy,Rainfed,35.4,Cotton,Barley
Monsoon,Hilly,Loam,Groundwater,28.9,Wheat,Rice
Monsoon,Coastal,Loam,Groundwater,17.8,Corn,Rice
Summer,Coastal,Silt,Rainfed,1.0,Sugarcane,Sugarcane
Monsoon,Plain,Silt,Rainfed,1.4,Corn,Groundnut
Monsoon,Coastal,Silt,Irrigated,10.1,Sugarcane,Groundnut
Winter,Coastal,Loam,Rainfed,29.7,Soybean,Wheat
Summer,Coastal,Clay,Irrigated,12.6,Cotton,Rice
Winter,Hilly,Sandy,Irrigated,3.8,Sugarcane,Barley
Summer,Plain,Silt,Rainfed,9.4,Wheat,Sugarcane
Summer,Plain,Clay,Groundwater,25.8,Cotton,Rice
Monsoon,Hilly,Loam,Irrigated,33.6,Soybean,Rice
Winter,Plain,Clay,Rainfed,48.7,Rice,Mustard
Monsoon,Coastal,Loam,Rainfed,35.9,Cotton,Rice
Summer,Plain,Clay,Rainfed,42.5,Corn,Rice
Summer,Hilly,Silt,Groundwater,21.9,Soybean,Sugarcane
Winter,Plain,Loam,Irrigated,35.6,Rice,Wheat
Winter,Coastal,Clay,Rainfed,27.0,Cotton,Mustard
Summer,Plain,Silt,Irrigated,39.6,Wheat,Sugarcane
Summer,Hilly,Sandy,Irrigated,23.5,Wheat,Cotton
Summer,Hilly,Sandy,Groundwater,25.6,Wheat,Cotton
Monsoon,Plain,Sandy,Irrigated,36.8,Wheat,Soybean
Monsoon,Hilly,Loam,Rainfed,43.3,Cotton,Rice
Winter,Hilly,Sandy,Rainfed,40.7,Wheat,Barley
Summer,Coastal,Silt,Rainfed,19.8,Wheat,Sugarcane
Summer,Hilly,Sandy,Irrigated,47.1,Wheat,Cotton
Winter,Hilly,Sandy,Rainfed,30.2,Soybean,Barley
Summer,Hilly,Loam,Groundwater,33.1,Cotton,Maize
Summer,Coastal,Sandy,Groundwater,16.9,Soybean,Cotton
Monsoon,Hilly,Sandy,Groundwater,3.1,Rice,Soybean
Winter,Plain,Sandy,Groundwater,43.1,Sugarcane,Barley
Monsoon,Hilly,Sandy,Groundwater,49.4,Cotton,Soybean
Monsoon,Plain,Clay,Rainfed,36.8,Wheat,Paddy
Summer,Coastal,Sandy,Rainfed,19.2,Wheat,Cotton
Monsoon,Hilly,Loam,Groundwater,42.9,Corn,Rice
Winter,Coastal,Loam,Groundwater,25.9,Cotton,Wheat
Monsoon,Hilly,Clay,Irrigated,44.4,Sugarcane,Paddy
Summer,Hilly,Sandy,Irrigated,30.9,Sugarcane,Cotton
Winter,Coastal,Silt,Groundwater,23.5,Wheat,Pea
Monsoon,Plain,Clay,Rainfed,38.6,Corn,Paddy
Summer,Hilly,Silt,Irrigated,23.6,Corn,Sugarcane
Monsoon,Coastal,Silt,Groundwater,31.4,Rice,Groundnut
Winter,Plain,Sandy,Groundwater,42.9,Corn,Barley
Summer,Coastal,Clay,Groundwater,25.9,Cotton,Rice
Summer,Hilly,Silt,Rainfed,15.1,Corn,Sugarcane
Summer,Coastal,Loam,Rainfed,6.5,Sugarcane,Maize
Winter,Hilly,Clay,Groundwater,31.9,Soybean,Mustard
Monsoon,Hilly,Sandy,Groundwater,8.6,Sugarcane,Soybean
Monsoon,Plain,Sandy,Rainfed,4.2,Corn,Soybean
Summer,Plain,Clay,Irrigated,6.5,Sugarcane,Rice
Winter,Coastal,Sandy,Irrigated,22.1,Soybean,Barley
Monsoon,Plain,Loam,Groundwater,42.7,Rice,Rice
Summer,Hilly,Loam,Groundwater,20.5,Cotton,Maize
Winter,Plain,Loam,Irrigated,1.3,Corn,Wheat
Summer,Coastal,Loam,Rainfed,19.1,Cotton,Maize
Winter,Coastal,Silt,Rainfed,15.8,Corn,Pea
Summer,Coastal,Silt,Rainfed,8.5,Rice,Sugarcane
Winter,Coastal,Sandy,Rainfed,5.3,Cotton,Barley
Summer,Hilly,Loam,Rainfed,43.9,Rice,Maize
Summer,Hilly,Loam,Groundwater,38.9,Cotton,Maize
Winter,Hilly,Silt,Groundwater,25.3,Soybean,Pea
Summer,Hilly,Silt,Groundwater,45.9,Rice,Sugarcane
Summer,Hilly,Loam,Groundwater,10.1,Sugarcane,Maize
Summer,Hilly,Silt,Groundwater,5.9,Cotton,Sugarcane
Winter,Hilly,Clay,Groundwater,38.1,Cotton,Mustard
Monsoon,Hilly,Loam,Rainfed,25.5,Wheat,Rice
Monsoon,Hilly,Clay,Groundwater,14.8,Cotton,Paddy
Summer,Plain,Loam,Groundwater,21.1,Cotton,Maize
Summer,Coastal,Loam,Rainfed,45.4,Sugarcane,Maize
Monsoon,Plain,Clay,Groundwater,13.2,Sugarcane,Paddy
Summer,Coastal,Clay,Rainfed,13.7,Corn,Rice
Winter,Hilly,Silt,Rainfed,13.6,Soybean,Pea
Summer,Coastal,Clay,Irrigated,15.8,Cotton,Rice
Monsoon,Coastal,Loam,Rainfed,48.1,Rice,Rice
Monsoon,Coastal,Sandy,Irrigated,29.5,Corn,Soybean
Winter,Plain,Clay,Irrigated,7.5,Sugarcane,Mustard
Monsoon,Plain,Silt,Groundwater,36.3,Corn,Groundnut
Winter,Coastal,Sandy,Rainfed,1.8,Cotton,Barley
Summer,Coastal,Clay,Irrigated,32.8,Wheat,Rice
Summer,Coastal,Sandy,Rainfed,37.9,Cotton,Cotton
Summer,Coastal,Loam,Groundwater,35.8,Wheat,Maize
Monsoon,Hilly,Sandy,Groundwater,30.0,Corn,Soybean
Monsoon,Coastal,Sandy,Rainfed,36.1,Soybean,Soybean
Summer,Hilly,Loam,Irrigated,28.0,Sugarcane,Maize
Monsoon,Coastal,Sandy,Groundwater,37.4,Cotton,Soybean
Summer,Plain,Sandy,Groundwater,17.7,Corn,Cotton
Monsoon,Hilly,Clay,Groundwater,5.7,Rice,Paddy
Monsoon,Plain,Sandy,Rainfed,44.0,Rice,Soybean
Monsoon,Coastal,Clay,Irrigated,10.6,Rice,Paddy
Monsoon,Hilly,Sandy,Groundwater,5.5,Corn,Soybean
Summer,Hilly,Loam,Groundwater,34.0,Soybean,Maize
Winter,Coastal,Silt,Irrigated,5.9,Cotton,Pea
Winter,Plain,Sandy,Groundwater,43.4,Corn,Barley
Winter,Coastal,Sandy,Groundwater,25.1,Wheat,Barley
Summer,Coastal,Loam,Groundwater,30.1,Sugarcane,Maize
Monsoon,Plain,Sandy,Rainfed,37.8,Rice,Soybean
Monsoon,Hilly,Clay,Rainfed,2.6,Rice,Paddy
Winter,Coastal,Loam,Groundwater,32.0,Sugarcane,Wheat
Summer,Plain,Silt,Groundwater,24.1,Sugarcane,Sugarcane
Summer,Coastal,Clay,Irrigated,12.2,Wheat,Rice
Monsoon,Plain,Silt,Rainfed,1.8,Sugarcane,Groundnut
Monsoon,Coastal,Sandy,Rainfed,12.2,Sugarcane,Soybean
Winter,Hilly,Silt,Irrigated,11.6,Corn,Pea
Summer,Plain,Loam,Rainfed,30.3,Cotton,Maize
Monsoon,Plain,Clay,Rainfed,38.2,Wheat,Paddy
Winter,Hilly,Loam,Groundwater,31.3,Cotton,Wheat
Summer,Plain,Clay,Groundwater,28.1,Corn,Rice
Winter,Coastal,Sandy,Rainfed,48.9,Cotton,Barley
Winter,Hilly,Sandy,Irrigated,11.4,Wheat,Barley
Monsoon,Plain,Silt,Irrigated,37.3,Rice,Groundnut
Winter,Coastal,Clay,Groundwater,48.8,Rice,Mustard
Summer,Hilly,Loam,Rainfed,4.2,Wheat,Maize
Winter,Plain,Loam,Irrigated,47.3,Wheat,Wheat
Monsoon,Coastal,Clay,Irrigated,28.9,Corn,Paddy
Monsoon,Plain,Silt,Irrigated,9.0,Cotton,Groundnut
Winter,Plain,Sandy,Irrigated,46.2,Soybean,Barley
Winter,Plain,Loam,Groundwater,17.7,Soybean,Wheat
Monsoon,Plain,Loam,Irrigated,21.4,Wheat,Rice
Winter,Coastal,Clay,Irrigated,24.2,Rice,Mustard
Winter,Hilly,Loam,Groundwater,37.5,Sugarcane,Wheat
Winter,Hilly,Loam,Irrigated,15.4,Cotton,Wheat
Winter,Hilly,Sandy,Rainfed,12.1,Soybean,Barley
Winter,Plain,Loam,Groundwater,24.0,Cotton,Wheat
Winter,Coastal,Sandy,Groundwater,48.0,Soybean,Barley
Monsoon,Coastal,Sandy,Rainfed,47.0,Rice,Soybean
Winter,Plain,Sandy,Irrigated,41.2,Sugarcane,Barley
Summer,Hilly,Clay,Rainfed,14.6,Wheat,Rice
Summer,Hilly,Loam,Rainfed,18.4,Cotton,Maize
Winter,Coastal,Sandy,Irrigated,34.8,Wheat,Barley
Winter,Hilly,Silt,Irrigated,36.8,Wheat,Pea
Summer,Hilly,Loam,Irrigated,38.3,Cotton,Maize
Monsoon,Hilly,Sandy,Rainfed,43.8,Cotton,Soybean
Monsoon,Plain,Sandy,Rainfed,42.8,Corn,Soybean
Monsoon,Hilly,Sandy,Rainfed,45.3,Cotton,Soybean
Summer,Plain,Loam,Irrigated,24.2,Sugarcane,Maize
Monsoon,Coastal,Sandy,Irrigated,30.1,Cotton,Soybean
Monsoon,Plain,Loam,Rainfed,45.4,Sugarcane,Rice
Winter,Coastal,Silt,Rainfed,9.4,Wheat,Pea
Monsoon,Coastal,Loam,Rainfed,9.4,Sugarcane,Rice
Winter,Hilly,Sandy,Groundwater,3.3,Wheat,Barley
Winter,Hilly,Clay,Rainfed,41.6,Sugarcane,Mustard
Monsoon,Coastal,Sandy,Irrigated,11.7,Sugarcane,Soybean
Summer,Coastal,Loam,Irrigated,20.3,Wheat,Maize
Winter,Coastal,Loam,Irrigated,46.0,Rice,Wheat
Summer,Coastal,Loam,Groundwater,26.0,Cotton,Maize
Summer,Hilly,Clay,Rainfed,47.4,Cotton,Rice
Summer,Coastal,Loam,Rainfed,14.3,Cotton,Maize
Winter,Hilly,Sandy,Groundwater,24.8,Cotton,Barley
Monsoon,Plain,Loam,Groundwater,5.7,Sugarcane,Rice
Winter,Plain,Clay,Rainfed,32.9,Cotton,Mustard
Monsoon,Hilly,Silt,Rainfed,3.9,Corn,Groundnut
Winter,Hilly,Clay,Rainfed,49.3,Sugarcane,Mustard
Monsoon,Coastal,Silt,Groundwater,36.3,Sugarcane,Groundnut
Monsoon,Plain,Silt,Irrigated,32.9,Wheat,Groundnut
Summer,Coastal,Loam,Rainfed,45.8,Corn,Maize
Summer,Coastal,Clay,Groundwater,45.2,Corn,Rice
Summer,Plain,Sandy,Groundwater,48.0,Soybean,Cotton
Summer,Plain,Clay,Groundwater,13.8,Sugarcane,Rice
Winter,Plain,Silt,Rainfed,26.2,Cotton,Pea
Monsoon,Plain,Sandy,Irrigated,30.3,Soybean,Soybean
Summer,Hilly,Sandy,Irrigated,19.8,Corn,Cotton
Summer,Coastal,Clay,Irrigated,37.4,Soybean,Rice
Winter,Coastal,Silt,Rainfed,44.2,Rice,Pea
Monsoon,Coastal,Clay,Groundwater,39.8,Wheat,Paddy
Summer,Plain,Silt,Groundwater,10.4,Rice,Sugarcane
Winter,Hilly,Clay,Groundwater,20.2,Wheat,Mustard
Winter,Plain,Sandy,Rainfed,1.8,Sugarcane,Barley
Monsoon,Hilly,Loam,Groundwater,20.9,Wheat,Rice
Winter,Hilly,Sandy,Rainfed,27.0,Cotton,Barley
Monsoon,Plain,Silt,Irrigated,41.7,Cotton,Groundnut
Monsoon,Hilly,Loam,Groundwater,39.4,Corn,Rice
Summer,Hilly,Sandy,Rainfed,47.3,Rice,Cotton
Monsoon,Plain,Sandy,Irrigated,11.7,Soybean,Soybean
Summer,Hilly,Silt,Irrigated,30.9,Cotton,Sugarcane
Winter,Hilly,Sandy,Groundwater,9.3,Rice,Barley
Monsoon,Coastal,Silt,Irrigated,33.0,Corn,Groundnut
Winter,Plain,Clay,Groundwater,46.7,Soybean,Mustard
Monsoon,Hilly,Clay,Irrigated,5.6,Corn,Paddy
Winter,Coastal,Clay,Irrigated,46.0,Cotton,Mustard
Winter,Coastal,Sandy,Rainfed,1.4,Soybean,Barley
Summer,Coastal,Loam,Rainfed,20.7,Soybean,Maize
Monsoon,Coastal,Clay,Groundwater,10.6,Corn,Paddy
Summer,Coastal,Loam,Rainfed,16.6,Rice,Maize
Winter,Coastal,Sandy,Rainfed,46.5,Corn,Barley
Winter,Hilly,Sandy,Groundwater,1.9,Soybean,Barley
Monsoon,Coastal,Clay,Rainfed,6.8,Rice,Paddy
Winter,Plain,Clay,Irrigated,47.9,Corn,Mustard
Winter,Coastal,Sandy,Rainfed,23.6,Sugarcane,Barley
Summer,Plain,Sandy,Rainfed,13.5,Rice,Cotton
Winter,Coastal,Silt,Groundwater,44.8,Rice,Pea
Winter,Plain,Clay,Groundwater,36.7,Sugarcane,Mustard
Summer,Hilly,Silt,Rainfed,47.3,Wheat,Sugarcane
Summer,Hilly,Silt,Groundwater,48.4,Sugarcane,Sugarcane
Winter,Coastal,Loam,Rainfed,8.0,Sugarcane,Wheat
Winter,Hilly,Clay,Irrigated,48.3,Cotton,Mustard
Monsoon,Coastal,Silt,Irrigated,19.6,Sugarcane,Groundnut
Summer,Hilly,Sandy,Groundwater,36.5,Wheat,Cotton
Monsoon,Hilly,Loam,Groundwater,40.2,Sugarcane,Rice
Winter,Plain,Silt,Rainfed,42.4,Rice,Pea
Winter,Plain,Clay,Irrigated,27.4,Cotton,Mustard
Winter,Coastal,Silt,Groundwater,24.8,Cotton,Pea
Monsoon,Hilly,Loam,Irrigated,2.3,Sugarcane,Rice
Summer,Hilly,Sandy,Groundwater,37.1,Sugarcane,Cotton
Winter,Coastal,Silt,Groundwater,21.9,Soybean,Pea
Monsoon,Coastal,Sandy,Irrigated,12.4,Rice,Soybean
Monsoon,Coastal,Sandy,Irrigated,19.1,Sugarcane,Soybean
Summer,Hilly,Sandy,Irrigated,6.7,Wheat,Cotton
Summer,Plain,Clay,Groundwater,16.3,Soybean,Rice
Winter,Hilly,Clay,Irrigated,13.1,Sugarcane,Mustard
Summer,Plain,Sandy,Rainfed,7.6,Rice,Cotton
Monsoon,Plain,Silt,Groundwater,26.5,Soybean,Groundnut
Summer,Plain,Loam,Groundwater,2.5,Cotton,Maize
Summer,Plain,Silt,Groundwater,26.1,Sugarcane,Sugarcane
Winter,Hilly,Clay,Groundwater,28.7,Soybean,Mustard
Winter,Plain,Sandy,Irrigated,29.2,Corn,Barley
Monsoon,Coastal,Clay,Irrigated,11.3,Wheat,Paddy
Monsoon,Hilly,Sandy,Irrigated,26.5,Sugarcane,Soybean
Monsoon,Hilly,Clay,Groundwater,6.4,Soybean,Paddy
Winter,Hilly,Sandy,Rainfed,43.9,Soybean,Barley
Monsoon,Hilly,Silt,Rainfed,15.2,Sugarcane,Groundnut
Summer,Hilly,Silt,Irrigated,3.6,Corn,Sugarcane
Summer,Coastal,Silt,Rainfed,48.6,Soybean,Sugarcane
Winter,Hilly,Sandy,Rainfed,20.1,Rice,Barley
Monsoon,Plain,Silt,Irrigated,46.6,Wheat,Groundnut
Summer,Hilly,Silt,Irrigated,38.7,Soybean,Sugarcane
Summer,Coastal,Silt,Rainfed,27.1,Corn,Sugarcane
Monsoon,Hilly,Sandy,Irrigated,9.5,Rice,Soybean
Winter,Plain,Clay,Irrigated,12.0,Soybean,Mustard
Monsoon,Plain,Clay,Rainfed,37.4,Soybean,Paddy
Monsoon,Plain,Loam,Irrigated,3.9,Rice,Rice
Winter,Hilly,Clay,Irrigated,27.9,Rice,Mustard
Summer,Coastal,Loam,Rainfed,26.0,Corn,Maize
Summer,Plain,Loam,Irrigated,26.7,Corn,Maize
Winter,Plain,Clay,Groundwater,23.4,Rice,Mustard
Winter,Plain,Loam,Groundwater,12.3,Rice,Wheat
Summer,Plain,Clay,Rainfed,41.4,Soybean,Rice
Monsoon,Hilly,Clay,Groundwater,32.3,Wheat,Paddy
Monsoon,Hilly,Silt,Groundwater,9.9,Soybean,Groundnut
Winter,Hilly,Loam,Irrigated,19.6,Wheat,Wheat
Monsoon,Plain,Sandy,Irrigated,36.9,Corn,Soybean
Summer,Coastal,Loam,Irrigated,43.2,Sugarcane,Maize
Winter,Plain,Loam,Irrigated,49.2,Wheat,Wheat
Monsoon,Plain,Clay,Irrigated,28.0,Soybean,Paddy
Winter,Plain,Clay,Irrigated,33.8,Soybean,Mustard
Winter,Hilly,Sandy,Groundwater,8.4,Corn,Barley
Winter,Hilly,Clay,Irrigated,19.8,Corn,Mustard
Winter,Plain,Silt,Irrigated,14.9,Sugarcane,Pea
Summer,Plain,Sandy,Rainfed,30.9,Wheat,Cotton
Monsoon,Hilly,Clay,Irrigated,18.3,Wheat,Paddy
Summer,Hilly,Clay,Groundwater,16.0,Soybean,Rice
Monsoon,Hilly,Loam,Irrigated,31.5,Cotton,Rice
Monsoon,Hilly,Loam,Irrigated,30.9,Cotton,Rice
Monsoon,Coastal,Silt,Groundwater,49.3,Rice,Groundnut
Monsoon,Plain,Loam,Groundwater,45.5,Sugarcane,Rice
Monsoon,Plain,Loam,Groundwater,23.2,Rice,Rice
Summer,Plain,Sandy,Irrigated,19.8,Rice,Cotton
Monsoon,Hilly,Loam,Irrigated,36.8,Soybean,Rice
Summer,Plain,Clay,Irrigated,46.6,Corn,Rice
Winter,Hilly,Sandy,Groundwater,3.9,Cotton,Barley
Summer,Plain,Silt,Groundwater,19.2,Sugarcane,Sugarcane
Summer,Coastal,Loam,Irrigated,43.2,Sugarcane,Maize
Monsoon,Plain,Clay,Rainfed,29.7,Wheat,Paddy
Monsoon,Hilly,Sandy,Irrigated,10.3,Cotton,Soybean
Winter,Hilly,Sandy,Rainfed,42.2,Soybean,Barley
Monsoon,Coastal,Silt,Groundwater,33.5,Rice,Groundnut
Monsoon,Plain,Silt,Rainfed,20.2,Rice,Groundnut
Winter,Hilly,Silt,Irrigated,41.3,Wheat,Pea
Winter,Coastal,Silt,Irrigated,16.0,Rice,Pea
Monsoon,Hilly,Clay,Groundwater,39.8,Sugarcane,Paddy
Monsoon,Plain,Clay,Irrigated,1.2,Corn,Paddy
Monsoon,Plain,Sandy,Groundwater,41.2,Sugarcane,Soybean
Summer,Coastal,Loam,Irrigated,16.5,Wheat,Maize
Summer,Plain,Loam,Irrigated,31.9,Wheat,Maize
Monsoon,Coastal,Loam,Irrigated,14.3,Corn,Rice
Winter,Hilly,Sandy,Groundwater,22.4,Cotton,Barley
Monsoon,Plain,Clay,Rainfed,38.5,Soybean,Paddy
Winter,Coastal,Sandy,Rainfed,37.3,Soybean,Barley
Summer,Plain,Loam,Rainfed,42.6,Wheat,Maize
Summer,Hilly,Sandy,Irrigated,33.2,Sugarcane,Cotton
Monsoon,Plain,Clay,Groundwater,8.5,Soybean,Paddy
Monsoon,Hilly,Clay,Irrigated,2.4,Sugarcane,Paddy
Summer,Coastal,Sandy,Irrigated,12.6,Corn,Cotton
Summer,Hilly,Clay,Groundwater,12.4,Cotton,Rice
Winter,Hilly,Silt,Irrigated,7.5,Soybean,Pea
Winter,Coastal,Loam,Irrigated,28.6,Wheat,Wheat
Monsoon,Hilly,Silt,Irrigated,34.1,Cotton,Groundnut
Monsoon,Plain,Sandy,Rainfed,13.3,Soybean,Soybean
Monsoon,Hilly,Clay,Groundwater,22.9,Sugarcane,Paddy
Monsoon,Plain,Sandy,Rainfed,2.9,Soybean,Soybean
Summer,Hilly,Silt,Irrigated,45.6,Cotton,Sugarcane
Monsoon,Hilly,Silt,Groundwater,44.2,Wheat,Groundnut
Summer,Plain,Clay,Rainfed,21.2,Sugarcane,Rice
Winter,Hilly,Silt,Irrigated,48.6,Wheat,Pea
Summer,Plain,Sandy,Groundwater,37.1,Wheat,Cotton
Summer,Plain,Silt,Groundwater,4.5,Soybean,Sugarcane
Monsoon,Plain,Silt,Rainfed,18.6,Corn,Groundnut
Monsoon,Plain,Silt,Irrigated,42.4,Sugarcane,Groundnut
Winter,Plain,Loam,Groundwater,6.4,Sugarcane,Wheat
Summer,Hilly,Loam,Groundwater,49.9,Rice,Maize
Winter,Plain,Loam,Rainfed,28.4,Corn,Wheat
Monsoon,Plain,Clay,Irrigated,19.3,Wheat,Paddy
Winter,Hilly,Loam,Groundwater,18.3,Corn,Wheat
Monsoon,Hilly,Silt,Irrigated,4.5,Wheat,Groundnut
Monsoon,Plain,Silt,Rainfed,9.2,Cotton,Groundnut
Monsoon,Plain,Sandy,Rainfed,48.8,Wheat,Soybean
Monsoon,Hilly,Loam,Groundwater,30.9,Sugarcane,Rice
Summer,Plain,Loam,Irrigated,39.1,Soybean,Maize
Summer,Hilly,Loam,Groundwater,18.6,Corn,Maize
Monsoon,Plain,Clay,Rainfed,7.1,Cotton,Paddy
Monsoon,Plain,Silt,Rainfed,27.4,Cotton,Groundnut
Monsoon,Plain,Loam,Rainfed,46.9,Corn,Rice
Summer,Hilly,Clay,Rainfed,42.3,Wheat,Rice
Summer,Plain,Silt,Irrigated,39.0,Corn,Sugarcane
Winter,Coastal,Silt,Irrigated,27.8,Corn,Pea
Monsoon,Coastal,Sandy,Groundwater,38.6,Soybean,Soybean
Summer,Hilly,Clay,Irrigated,11.0,Soybean,Rice
Monsoon,Hilly,Sandy,Rainfed,41.0,Sugarcane,Soybean
Winter,Coastal,Sandy,Groundwater,34.3,Cotton,Barley
Summer,Plain,Silt,Groundwater,3.8,Wheat,Sugarcane
Summer,Coastal,Clay,Groundwater,47.2,Soybean,Rice
Summer,Coastal,Silt,Groundwater,17.0,Cotton,Sugarcane
Monsoon,Plain,Clay,Rainfed,17.7,Corn,Paddy
Monsoon,Plain,Clay,Rainfed,11.9,Wheat,Paddy
Winter,Coastal,Silt,Rainfed,10.5,Wheat,Pea
Monsoon,Hilly,Clay,Rainfed,24.8,Wheat,Paddy
Summer,Plain,Loam,Irrigated,2.7,Sugarcane,Maize
Summer,Plain,Clay,Groundwater,22.2,Rice,Rice
Winter,Plain,Loam,Irrigated,13.5,Soybean,Wheat
Winter,Plain,Sandy,Groundwater,18.8,Wheat,Barley
Monsoon,Hilly,Sandy,Rainfed,37.5,Cotton,Soybean
Monsoon,Plain,Loam,Groundwater,20.8,Cotton,Rice
Summer,Hilly,Clay,Rainfed,47.4,Sugarcane,Rice
Monsoon,Coastal,Silt,Irrigated,35.1,Corn,Groundnut
Monsoon,Hilly,Clay,Groundwater,8.6,Sugarcane,Paddy
Monsoon,Coastal,Clay,Groundwater,6.8,Cotton,Paddy
Winter,Coastal,Sandy,Groundwater,3.2,Wheat,Barley
Winter,Hilly,Sandy,Rainfed,25.2,Soybean,Barley
Summer,Plain,Clay,Irrigated,21.4,Soybean,Rice
Monsoon,Hilly,Silt,Rainfed,43.5,Rice,Groundnut
Monsoon,Plain,Clay,Irrigated,38.8,Wheat,Paddy
Winter,Coastal,Silt,Groundwater,11.9,Wheat,Pea
Summer,Plain,Clay,Irrigated,37.8,Cotton,Rice
Monsoon,Plain,Sandy,Irrigated,33.9,Corn,Soybean
Summer,Hilly,Loam,Rainfed,45.4,Sugarcane,Maize
Monsoon,Hilly,Sandy,Rainfed,28.0,Sugarcane,Soybean
Winter,Plain,Silt,Groundwater,44.5,Soybean,Pea
Winter,Hilly,Silt,Rainfed,33.7,Cotton,Pea
Monsoon,Coastal,Sandy,Rainfed,25.6,Soybean,Soybean
Monsoon,Plain,Sandy,Irrigated,37.6,Sugarcane,Soybean
Monsoon,Coastal,Sandy,Rainfed,22.2,Wheat,Soybean
Winter,Coastal,Clay,Rainfed,21.8,Wheat,Mustard
Winter,Coastal,Sandy,Groundwater,17.0,Sugarcane,Barley
Summer,Coastal,Silt,Irrigated,2.0,Sugarcane,Sugarcane
Winter,Hilly,Silt,Irrigated,33.6,Cotton,Pea
Summer,Plain,Clay,Groundwater,27.8,Cotton,Rice
Summer,Coastal,Sandy,Irrigated,46.8,Rice,Cotton
Monsoon,Hilly,Silt,Groundwater,30.7,Wheat,Groundnut
Summer,Coastal,Sandy,Irrigated,38.5,Soybean,Cotton
Winter,Hilly,Sandy,Irrigated,37.0,Corn,Barley
Summer,Coastal,Clay,Irrigated,40.6,Rice,Rice
Winter,Hilly,Sandy,Rainfed,48.7,Corn,Barley
Monsoon,Coastal,Clay,Groundwater,12.5,Wheat,Paddy
Winter,Coastal,Silt,Groundwater,14.4,Rice,Pea
Monsoon,Coastal,Sandy,Rainfed,6.4,Sugarcane,Soybean
Winter,Hilly,Sandy,Irrigated,42.5,Rice,Barley
Winter,Plain,Loam,Irrigated,44.7,Cotton,Wheat
Summer,Plain,Loam,Groundwater,45.3,Sugarcane,Maize
Monsoon,Coastal,Silt,Irrigated,23.9,Cotton,Groundnut
Winter,Coastal,Clay,Irrigated,2.8,Cotton,Mustard
Monsoon,Plain,Silt,Irrigated,32.4,Cotton,Groundnut
Summer,Plain,Clay,Rainfed,13.9,Sugarcane,Rice
Winter,Plain,Clay,Groundwater,37.1,Soybean,Mustard
Summer,Coastal,Loam,Irrigated,36.1,Rice,Maize
Summer,Hilly,Loam,Irrigated,28.4,Cotton,Maize
Winter,Coastal,Silt,Groundwater,24.1,Corn,Pea
Winter,Plain,Clay,Rainfed,6.8,Cotton,Mustard
Winter,Hilly,Loam,Irrigated,19.9,Corn,Wheat
Summer,Coastal,Clay,Irrigated,35.5,Rice,Rice
