Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Groundnut,Low,41,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,35,Sunny,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,36,Rainy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,62,Sunny,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,107,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,44,Sunny,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,7,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,23,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,20,Sunny,None,Barley requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,83,Rainy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,92,Rainy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,67,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,23,Sunny,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,103,Cloudy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,113,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,61,Sunny,Moderate,Cotton requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,61,Windy,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Low,79,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,63,Cloudy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,51,Windy,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,High,70,Cloudy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,5,Windy,None,Wheat requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Maize,Medium,78,Cloudy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,97,Sunny,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,55,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,9,Rainy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,112,Cloudy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,82,Sunny,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,3,Sunny,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,9,Rainy,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,66,Windy,Severe,Cotton requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Maize,High,9,Sunny,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,43,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,71,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,101,Cloudy,Severe,Rice requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,102,Rainy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,89,Rainy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,57,Sunny,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,102,Windy,None,Sugarcane requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,High,7,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,105,Rainy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,110,Windy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,High,101,Rainy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,75,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,72,Sunny,Severe,Rice requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,111,Sunny,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,5,Sunny,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,108,Cloudy,Severe,Barley requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,59,Sunny,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,97,Sunny,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,10,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,Low,8,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,19,Cloudy,Severe,Wheat requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,94,Rainy,Mild,Cotton requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,7,Rainy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,16,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,82,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,114,Cloudy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,79,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,102,Cloudy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,108,Sunny,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,38,Windy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,Low,66,Rainy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,55,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,50,Windy,Moderate,Cotton requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Medium,118,Windy,Moderate,Cotton requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Rice,Medium,86,Cloudy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,29,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,44,Sunny,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,38,Cloudy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,102,Windy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,3,Windy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,51,Windy,Mild,Cotton requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Low,97,Rainy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,77,Windy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Low,45,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,87,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,58,Windy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,50,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,9,Cloudy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,116,Windy,Severe,Maize requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Barley,Medium,53,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,23,Cloudy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,27,Windy,Severe,Rice requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,19,Cloudy,None,Groundnut requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,25,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,26,Cloudy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,87,Sunny,Mild,Wheat requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,74,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,17,Cloudy,Severe,Cotton requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,77,Cloudy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,34,Rainy,None,Groundnut requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,12,Cloudy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,14,Windy,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,High,79,Windy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Low,47,Windy,Mild,Cotton requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,High,100,Rainy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,102,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,38,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Millets,High,71,Sunny,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,32,Rainy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,56,Windy,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Low,31,Rainy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,118,Cloudy,Moderate,Cotton requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,46,Rainy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,89,Cloudy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,32,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,5,Cloudy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,88,Sunny,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,45,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,99,Sunny,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,17,Windy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Medium,57,Sunny,Mild,Cotton requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,106,Windy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,115,Windy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,Low,5,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,38,Cloudy,Mild,Barley requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,98,Rainy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,118,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,81,Windy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,High,105,Sunny,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,57,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Barley,High,48,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,46,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,74,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,46,Rainy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,71,Windy,Moderate,Millets requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Wheat,High,68,Sunny,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,115,Cloudy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,113,Rainy,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,77,Rainy,None,Wheat requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,12,Windy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Medium,98,Rainy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,42,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,71,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,60,Rainy,Mild,Groundnut requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,66,Cloudy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,113,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Maize,High,109,Cloudy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,16,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,35,Rainy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,24,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,10,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,27,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,57,Cloudy,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,13,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,1,Rainy,None,Millets requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,5,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,102,Rainy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,99,Cloudy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,40,Sunny,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,55,Sunny,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,16,Sunny,Moderate,Rice requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,90,Cloudy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,87,Cloudy,None,Wheat requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,68,Rainy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,45,Rainy,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,14,Windy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Low,97,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,60,Cloudy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,10,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,65,Windy,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Low,84,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,18,Windy,None,Groundnut requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Barley,Low,50,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,104,Windy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Low,86,Sunny,Severe,Cotton requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,19,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,55,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,31,Sunny,Mild,Wheat requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,39,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,14,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,6,Rainy,Mild,Cotton requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,77,Sunny,None,Cotton requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,21,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,87,Sunny,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,106,Sunny,None,Millets requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,6,Sunny,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,88,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,53,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,94,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,22,Cloudy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,89,Rainy,Mild,Sugarcane requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,102,Rainy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,90,Rainy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,15,Sunny,Severe,Rice requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,17,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,93,Sunny,None,Groundnut requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,39,Rainy,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,96,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,104,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,76,Windy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
